Title,Description+UB:AF,Keywords,Address 1,Address 2,Suburb,Postcode,Postal address 1,Postal address 2,Postal suburb,Postal postcode,Latitude,Longitude,Phone,Fax,Email,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Closure,Services,servicesnotoffered,ServiceAlert,AddressDetails,MainAlert,TimeAlert,Wheelchair,Type,Last updated,Initial,Holiday,URL
Charters Towers Transport and Main Roads Customer Service Centre,"11-15 Church St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests",,11-15 Church Street,Charters Towers,4820,,PO Box 1471,Charters Towers,4820,-20.071149,146.262563,13 23 80,(07) 4787 2049,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  practical driver testing for all licence classes","####Services not offered at this location#### 
* pre-registration inspections",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,c,,/transport/contacts/centres/view?title=Charters Towers Transport and Main Roads Customer Service Centre
Chermside Transport and Main Roads Customer Service Centre,"766 Gympie Rd Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, motorcycles, motorbikes","driver licence, boat licence, registration, industry licensing, pre-registration inspections light vehicles, motorcycles, motorbikes",,766 Gympie Road,Chermside,4032,,766 Gympie Road,Chermside,4032,-27.38737043,153.0308311,13 23 80,(07) 3350 4102,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for vehicles less than 4.5 tonne gross vehicle mass (pre-registration inspections are restricted to a maximum height of 2m)","####Services not offered at this location#### 
* pre-registration inspections for trailers
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,c,,/transport/contacts/centres/view?title=Chermside Transport and Main Roads Customer Service Centre
Childers QGAP,67 Churchill Street:registration; pre-registration inspections ,registration; pre-registration inspections ,,67 Churchill Street,Childers,4660,Childers Courthouse,PO Box 39,Childers,4660,-25.236162,152.277802,(07) 4126 1455 or 13 23 90 (for practical driving test bookings),(07) 4126 1208,,8:30-13:00,14:00-16:30,8:30-13:00,14:00-16:30,9:30-13:00,14:00-16:30,8:30-13:00,14:00-16:30,8:30-13:00,14:00-16:30,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels
* driver licensing
* boat licensing 
* practical driving testing for all licence classes up to heavy rigid (not including motorcycles)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",, Opposite Commonwealth Bank,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (TMR lead),17/07/2018,c,,/transport/contacts/centres/view?title=Childers QGAP
Chillagoe Police Station,"18 King Street:driver licence; practical driver tests, registration","driver licence; practical driver tests, registration",,18 King Street,Chillagoe,4871,,King Street,Chillagoe,4871,-17.154887,144.521461,(07) 4094 7120,(07) 4097 7021,,,,,,,,8:30,12:30,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  practical driver testing, registration of vehicles and vessels",,, In front of Chillagoe State School,,,,Queensland Police Station,,c,,/transport/contacts/centres/view?title=Chillagoe Police Station
Chinchilla QGAP,Heeney Street:registration,registration,,Heeney Street,Chinchilla,4413,,PO Box 277,Chinchilla,4413,-26.740131,150.624884,(07) 4662 7017 or 13 23 90 (for practical driving test bookings),(07) 4662 7021,,8:30-13:00,14:00-16:30,8:30-13:00,14:00-16:30,9:30-13:00,14:00-16:30,8:30-13:00,14:00-16:30,8:30-13:00,14:00-16:30,,,,,,"####Services offered at this location#### 
* driver licensing
* registration of vehicles and vessels
* boat licensing
* practical driver testing for all licence classes up to heavy combination (not including motorcycles)
* pre-registration inspections for light vehicles","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,No new business registration before 9:00 and after 16:00.,,QGAP (TMR lead),17/07/2018,c,,/transport/contacts/centres/view?title=Chinchilla QGAP
Clermont QGAP,44 Daintree Street: registration;  pre-registration inspections, registration;  pre-registration inspections,,44 Daintree Street,Clermont,4721,Clermont Courthouse,PO Box 283,Clermont,4721,-22.824362,147.639709,(07) 4983 1233,,,8:30-12:30,13:30-16:30,8:30-12:30,13:30-16:30,9:30-12:30,13:30-16:30,8:30-12:30,13:30-16:30,8:30-12:30,13:30-16:30,,,,,,"####Services offered at this location#### 
*  registration of vehicles and vessels
*   pre-registration inspections for light vehicles excluding trailers in fine weather only
* driver licensing",,,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (TMR lead),17/07/2018,c,,/transport/contacts/centres/view?title=Clermont QGAP
Cleveland Transport and Main Roads Customer Service Centre,"Ross Court Ctr Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, motorcycles, motorbikes","driver licence, boat licence, registration, industry licensing, pre-registration inspections light vehicles, motorcycles, motorbikes",Ross Court Centre,Corner Bloomfield Street and Ross Court,Cleveland,4163,,PO Box 800,Cleveland,4163,-27.53142483,153.2659055,13 23 80,(07) 3821 2232,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for light vehicles less than 4.5 tonne gross vehicle mass, motorcycles and trailers less than 3.5 tonne aggregate trailer mass in fine weather only 
*  practical driver testing (not including motorcycles)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,c,,/transport/contacts/centres/view?title=Cleveland Transport and Main Roads Customer Service Centre
Clifton Police Station,3 Edward Street:registration; boat licence; practical driver tests,registration; boat licence; practical driver tests,,3 Edward Street,Clifton,4361,,PO Box 51,Clifton,4361,-27.931539,151.905033,(07) 4697 3120,(07) 4697 3045,,,,9:00,15:00,9:00,15:00,,,,,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels
*  boat licencing
*  practical driver testing (not including motorcycles)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,,Queensland Police Station,,c,,/transport/contacts/centres/view?title=Clifton Police Station
Cloncurry Transport and Main Roads Customer Service Centre,"16-22 Ramsay St Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests, motorcycles, motorbikes","driver licence, boat licence, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests, motorcycles, motorbikes",,16-22 Ramsay Street,Cloncurry,4824,,PO Box 338,Cloncurry,4824,-20.70730007,140.5086731,13 23 80,(07) 4769 3288,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for all vehicles types and conducts practical driver testing for all licence classes",,,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,c,,/transport/contacts/centres/view?title=Cloncurry Transport and Main Roads Customer Service Centre
Coen Police Station,Shepherd Street:driver licence; practical driver tests; registration,driver licence; practical driver tests; registration,,Shepherd Street,Coen,4871,,Shepherd Street,Coen,4871,-13.945647,143.198544,(07) 4060 1150,(07) 4060 1175,,,,8:30,12:30,,,,,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  practical driver testing for all licence classes up to heavy rigid and RE motorcycle class
*  registration of vehicles and vessels",,,,,,,Queensland Police Station,,c,,/transport/contacts/centres/view?title=Coen Police Station
Collinsville QGAP,64 Sonoma Street:driver licence; boat licence; registration; industry licensing; practical driver tests,driver licence; boat licence; registration; industry licensing; practical driver tests,,64 Sonoma Street,Collinsville,4804,,PO Box 58 ,Collinsville,4804,-20.549544,147.842268,(07) 4785 5567,(07) 4785 5789,,9:00-12:30,14:00-16:30,9:00-12:30,14:00-16:30,9:00-12:30,14:00-16:30,9:00-12:30,14:00-16:30,9:00-12:30,14:00-16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  practical driver testing for all licence classes taken by QPS one day per week",,, Next door to police station,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,c,,/transport/contacts/centres/view?title=Collinsville QGAP
Cooktown QGAP,172 Charlotte Street:boat licence; industry licensing; registration; pre-registration inspections,boat licence; industry licensing; registration; pre-registration inspections,,"Cooktown Courthouse 
172 Charlotte Street",Cooktown,4895,Cooktown Courthouse,PO Box 91,Cooktown,4895,-15.462274,145.250353,(07) 4069 5333,(07) 4069 5864,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
*  licensing
*  practical driver testing for all licence classes up to medium rigid
*  industry licensing services
*  registration of vehicles and vessels
*  pre-registration inspections for light vehicles and trailers up to 4.5t",,,,," New business registration services are available 8.30-11:30am and 2.00-2:30pm (Monday-Thursday), except the first week of each month",![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,c,,/transport/contacts/centres/view?title=Cooktown QGAP
Crows Nest Police Station,34 Albert Street:driver licence; practical driver tests; pre-registration inspections; registration,driver licence; practical driver tests; pre-registration inspections; registration,,34 Albert Street,Crows Nest,4355,,PO Box 1,Crows Nest,4355,-27.265725,152.058018,(07) 4698 1420,(07) 4698 2955,,8:00,13:00,8:00,13:00,8:00,13:00,8:00,13:00,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  practical driver testing for all licence classes up to heavy rigid (not including motorcycles)
*  pre-registration inspections for light vehicles only 
*  registration of vehicles and vessels","####Services not included####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ", CTP for new registrations must be organised in advance.,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Queensland Police Station,,c,,/transport/contacts/centres/view?title=Crows Nest Police Station
Croydon Police Station,Brown Street:driver licence;   practical driver tests,driver licence;   practical driver tests,,Brown Street,Croydon,4871,,Brown Street,Croydon,4871,-18.202915,142.24437,(07) 4745 6231,(07) 4748 7401,,8:00,12:00,,,,,,,,,,,,,,"####Services offered at this location#### 
* driver licensing
*    practical driver testing for light vehicles only",,, Opposite the Croydon Cafe/Supermarket,, Appointments for services outside of these hours will be issued only in exceptional circumstances,,Queensland Police Station,,c,,/transport/contacts/centres/view?title=Croydon Police Station
Croydon QGAP,Samwell Street:registration; pre-registration inspections,registration; pre-registration inspections,,Samwell Street,Croydon,4871,,PO Box 17,Croydon,4871,-18.204077,142.244097,(07) 4748 7101,(07) 4745 6147,,9:00,15:30,9:00,15:30,9:00,15:30,9:00,15:30,9:00,15:30,,,,,,"####Services offered at this location#### 
",,,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,c,,/transport/contacts/centres/view?title=Croydon QGAP
Cunnamulla QGAP,5 Stockyard Street :registration,registration,,5 Stockyard Street ,Cunnamulla,4490,Cunnamulla Courthouse,PO Box 227,Cunnamulla,4490,-28.069531,145.682046,(07) 4655 1331,(07) 4655 1422,,8:30-13:00,14:00-16:30,8:30-13:00,14:00-16:30,9:30-13:00,14:00-16:30,8:30-13:00,14:00-16:30,8:30-13:00,14:00-16:30,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels
* driver licensing
* boat licensing
* industry licensing services
* pre-registration inspections
",,, Next door to Cunnamulla Police Station,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (TMR lead),17/07/2018,c,,/transport/contacts/centres/view?title=Cunnamulla QGAP
Currumbin Waters Transport and Main Roads Customer Service Centre,"109 Currumbin Creek Rd Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, motorcycles, motorbikes","driver licence, boat licence, registration, industry licensing, pre-registration inspections light vehicles, motorcycles, motorbikes",Unit 3,109 Currumbin Creek Road,Currumbin Waters,4223,,PO Box 397,Currumbin Waters,4223,-28.149159,153.470411,13 23 80,(07) 5534 2950,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for light vehicles less than 4.5 tonne gross vehicle mass (except trailers and caravans)
*  practical driver testing (not including motorcycles)","####Services not offered at this location#### 
* pre-registration inspections for trailers
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,c,,/transport/contacts/centres/view?title=Currumbin Waters Transport and Main Roads Customer Service Centre
Dajarra Police Station,Matheson St:driver licence;   practical driver tests; pre-registration inspections; registration,driver licence;   practical driver tests; pre-registration inspections; registration,,Matheson St,Dajarra,4825,,Matheson Street,Dajarra,4825,-21.694476,139.513603,(07) 4748 4866,(07) 4748 4936,,,,,,10:00,14:00,10:00,14:00,,,,,,,,"####Services offered at this location#### 
* driver licensing
*    practical driver testing for all licence classes up to heavy rigid
*  pre-registration inspections
*  registration of vehicles and vessels",, HVRAS inspections available only for vehicles being used within the division. ,,"Transport and Main Roads services are unavailable at Dajarra Police Station until further notice. Alternatively, there are a range of [online services](http://www.tmr.qld.gov.au/Online-services) available.",,,Queensland Police Station,,d,,/transport/contacts/centres/view?title=Dajarra Police Station
Dalby Transport and Main Roads Customer Service Centre,"20 Cunningham St Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests, motorcycles, motorbikes","driver licence, boat licence, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests, motorcycles, motorbikes",,20 Cunningham Street,Dalby,4405,,PO Box 767,Dalby,4405,-27.180054,151.267749,13 23 80,(07) 4662 5274,,8:30,16:00,8:30,16:00,9:30,16:00,8:30,16:00,8:30,16:00,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for all vehicles in fine weather only
*  practical driver testing for all licence classes (except motorcycles)","####Services not offered at this location#### 
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. 
",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,d,,/transport/contacts/centres/view?title=Dalby Transport and Main Roads Customer Service Centre
Darra Motor Vehicle Inspection Centre,"Argyle Pde Services: vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles","vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",,Argyle Parade,Darra,4077,,PO Box 3435,Mount Ommaney,4074,-27.573046,152.963038,13 23 80,(07) 3375 1285,,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,,,,,,"####Services offered at this location#### 
* pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass
* safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass are undertaken by approved inspections stations","####Services not offered at this location#### 
*  safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass-these inspections are performed by approved inspections stations",,,This centre conducts pre-booked vehicle safety inspections only.,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Motor Vehicle Inspection Centre,,d,,/transport/contacts/centres/view?title=Darra Motor Vehicle Inspection Centre
Dimbulah Police Station,Baker Street:driver licence; registration,driver licence; registration,,Baker Street,Dimbulah,4872,,Baker Street,Dimbulah,4872,-17.1528,145.1106,(07) 4093 5200,(07) 4093 5086,,9:00,15:00,,,,,,,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  registration of vehicles and vessels","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,,Queensland Police Station,,d,,/transport/contacts/centres/view?title=Dimbulah Police Station
Dirranbandi Police Station,Kirby Street:driver licence; practical driver tests,driver licence; practical driver tests,,Kirby Street,Dirranbandi,4486,,PO Box 72,Dirranbandi,4486,-28.5843,148.227997,(07) 4625 8200,(07) 4625 8495,,9:00,15:30,9:00,13:00,9:00,13:00,9:00,13:00,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  practical driver testing for light vehicles only",,,,,,,Queensland Police Station,,d,,/transport/contacts/centres/view?title=Dirranbandi Police Station
Dirranbandi QGAP,35-37 Railway Street:registration,registration,,35-37 Railway Street,Dirranbandi,4486,,PO Box 319,Dirranbandi,4486,-28.58603,148.22681,(07) 4625 8411,(07) 4625 8433,,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels",,, Opposite Dirran Pub,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,d,,/transport/contacts/centres/view?title=Dirranbandi QGAP
Doomadgee Police Station,Goodeedawa Road:driver licence; practical driver tests; pre-registration inspections; registration,driver licence; practical driver tests; pre-registration inspections; registration,,Goodeedawa Road,Doomadgee,4830,,Goodeedawa Rd,Doomadgee,4830,-17.93886,138.829823,(07) 4742 9090,(07) 4745 8175,,14:00,16:30,14:00,16:30,14:00,16:30,14:00,16:30,14:00,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*   practical driving testing for all licence classes to HR
*  pre-registration inspections for light vehicles
*  registration of vehicles and vessels",,, Opposite the Doomadgee PCYC,,,,Queensland Police Station,,d,,/transport/contacts/centres/view?title=Doomadgee Police Station
Duaringa Police Station,19 Olga St:driver licence; practical driver tests; registration,"driver licence, practical driving tests, registration",,Olga Street,Duaringa,4702,,PO Box 63,Duaringa,4702,-23.711633,149.669173,(07) 4935 7222,(07) 7935 7324,,9:00,15:00,9:00,15:00,9:00,15:00,9:00,15:00,,,,,,,,"####Services offered at this location#### 
* driver licensing 
* practical driver testing for all licence classes up to heavy combination (except motorcycles)
* registration of vehicles and vessels ","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,New business registrations only taken until 14:00 Mon - Thurs,,Queensland Police Station,,d,,/transport/contacts/centres/view?title=Duaringa Police Station
Dysart Police Station,Queen Elizabeth Drive:driver licence; boat licence; practical driver tests,driver licence; boat licence; practical driver tests,,Queen Elizabeth Drive,Dysart,4745,,PO Box 84,Dysart,4745,-22.586247,148.348935,(07) 4950 0199,(07) 4958 2522,,9:00,15:00,9:00,15:00,,,9:00,15:00,9:00,15:00,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  practical driver testing for light vehicles and RE motorcycle class",,,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Queensland Police Station,,d,,/transport/contacts/centres/view?title=Dysart Police Station
Eidsvold Police Station,24 Moreton Street:driver licence;  practical driver tests; ,driver licence;  practical driver tests; ,,24 Moreton Street,Eidsvold,4627,,PO Box 21,Eidsvold,4627,-25.36886,151.121207,(07) 4165 1211,(07) 4165 1135,,,,,,8:00,12:00,,,,,,,,,,"####Services offered at this location#### 
* driver licensing","####Services not offered at this location#### 
* interstate and international licence transfers
* practical driver testing",,,,,,Queensland Police Station,,e,,/transport/contacts/centres/view?title=Eidsvold Police Station
Eidsvold QGAP,39 Moreton Street:registration; pre-registration inspections,registration; pre-registration inspections,,39 Moreton Street,Eidsvold,4627,,39 Moreton Street,Eidsvold,4627,-25.370088,151.122408,1300 696 272,(07) 4165 7244,,8:30-11:30,12:30-16:30,8:30-11:30,12:30-16:30,8:30-11:30,12:30-16:30,8:30-11:30,12:30-16:30,8:30-11:30,12:30-16:30,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels
*  pre-registration inspections for all vehicles",,, Opposite the library,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,e,,/transport/contacts/centres/view?title=Eidsvold QGAP
Emerald Transport and Main Roads Customer Service Centre,"83 Esmond St Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests","driver licence, boat licence, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests",,83 Esmond Street,Emerald,4720,,PO Box 1787,Emerald,4720,-23.520241,148.165404,13 23 80,(07) 4983 8750,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for all vehicles
*  practical driver testing for all licence classes (except motorcycles)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,e,,/transport/contacts/centres/view?title=Emerald Transport and Main Roads Customer Service Centre
Emerald Transport and Main Roads Motor Vehicle Inspection Centre,"20 Batts Street Services: vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections ","vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections",,20 Batts Street,Emerald,4720,,PO Box 1787,Emerald,4720,-23.520241,148.165404,13 23 90,(07) 4982 0631,,,,,,,,,,,,,,,,,"####Services offered at this location#### 
* pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass
*  safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass are undertaken by approved inspections stations","####Services not offered at this location#### 
* safety inspections for light vehicles and heavy vehicles up to 16 tonne GVM - these are performed by Approved Inspection stations ",,,, Please contact this location for operating times,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Motor Vehicle Inspection Centre,,e,,/transport/contacts/centres/view?title=Emerald Transport and Main Roads Motor Vehicle Inspection Centre
Eromanga Police Station,Webber Street:driver licence; practical driving test; pre-registration inspections; registration,driver licence; practical driving test; pre-registration inspections; registration,,Webber Street,Eromanga,4480,,Webber Street,Eromanga,4480,-26.668433,143.270524,(07) 4656 4836,(07) 4656 4870,,8:00,16:00,8:00,16:00,8:00,16:00,8:00,16:00,8:00,16:00,,,,,,####Services offered at this location####,,,,, Appointments are required for transport and motoring services.,,Queensland Police Station,,e,,/transport/contacts/centres/view?title=Eromanga Police Station
Esk Police Station,22 Highland Street :practical driver tests; driver licence,practical driver tests; driver licence,,22 Highland Street ,Esk,4312,,PO Box 118,Esk,4312,-27.240301,152.419456,(07) 5424 1100,(07) 5424 2053,,,,,,,,,,,,,,,,,####Services offered at this location####,"####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ", Driving tests are for residents of the Esk police division only.,,,,,Queensland Police Station,,e,,/transport/contacts/centres/view?title=Esk Police Station
Eulo Police Station,Leo St:registration,,,Leo Street,Eulo,4491,,Leo Street,Eulo,4491,-28.1629036,145.0446235,(07) 4655 4838,,,,,,,,,,,,,,,,,,"####Services offered at this location####
*  registration of vehicles and vessels",,,,,All transactions are by appointment only.,,Queensland Police Station,,e,,/transport/contacts/centres/view?title=Eulo Police Station
Gatton Customer Centre,7 William Street:registration,registration,,7 William Street,Gatton,4343,,PO Box 413,Gatton,4343,-27.556605,152.278833,13 74 68,(07) 5462 3436,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels
* driver licensing","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Centre,,g,,/transport/contacts/centres/view?title=Gatton Customer Centre
Gayndah QGAP,20 Capper Street:registration; industry licensing; pre-registration inspections; boat licence,registration; industry licensing; pre-registration inspections; boat licence,Gayndah Courthouse,20 Capper Street,Gayndah,4625,,PO Box 249,Gayndah,4625,-25.625102,151.609303,(07) 4161 1655,(07) 4161 2221,,8:45-13:00,14:00-16:30,8:45-13:00,14:00-16:30,9:30-13:00,14:00-16:30,8:45-13:00,14:00-16:30,8:45-13:00,14:00-16:30,,,,,,"####Services offered at this location#### 
* driver licensing
* boat licensing
* practical driver testing (except motorcycles)
* registration of vehicles and vessels
* pre-registration inspections for light vehicles only
","####Services not offered at this location#### 
* Heavy vehicle inspections",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (TMR lead),17/07/2018,g,,/transport/contacts/centres/view?title=Gayndah QGAP
Georgetown Police Station,High Street:driver licence; boat licence; practical driver tests,driver licence; boat licence; practical driver tests,,High Street,Georgetown,4871,,High Street,Georgetown,4871,-18.290582,143.54739,(07) 4062 1209,(07) 4062 1119,,,,,,,,12:00,15:00,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  practical driver testing for light vehicles only",,,,,,,Queensland Police Station,,g,,/transport/contacts/centres/view?title=Georgetown Police Station
Georgetown QGAP,High St:registration; industry licensing,registration; industry licensing,,High St,Georgetown,4871,,PO Box 28 Georgetown,Georgetown,4871,-18.290932,143.547316,(07) 4062 1204,(07) 4062 1260,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels
*  industry licensing services",,, Next to Georgetown Police Station,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,g,,/transport/contacts/centres/view?title=Georgetown QGAP
